source_platform,app_id,country,review_id,review_title,review_text,rating,review_date,user_name,collected_at
Apple App Store,570060128,us,14072414976,———,"в заданиях на слух герои не произносят речь , и эти кроки просто проходят мимо , их приходится пропускать, раньше даже в обычных заданиях проговаривали слова изучаемого языка вслух , а сейчас даже в заданиях где нудно слушать ничего не говорят",3,2026-05-16 14:18:53-07:00,chipmunk_kvkv 11,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072394673,Fun,Download this,5,2026-05-16 14:10:50-07:00,Dnejrbshebd,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072356757,Duoingo,I love Duolingo it’s the best,5,2026-05-16 13:55:55-07:00,Cabybara698,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072344411,The best thing for learning myself,It’s still a four but I like it so I can keep on doing it and it helps me when I’m not doing it,4,2026-05-16 13:51:07-07:00,Bookayj,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072343989,"Love, Duolingo💚","It helps me learn, even though I’m in sixth grade. I’m am still learning how to do stuff and sometimes I think it’s hard. I don’t play around with my friends in class, but it helps me learn more than I know.",5,2026-05-16 13:50:57-07:00,Aubri reynolds,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072336991,Good but retarted,Good to learn and practice but too many dumb things are getting added. Like having to tap the chest a bunch of times to get your boost. All these unnecessary things making the app too much. I just want to learn not press a million different screen and shake the dumb treasure box and unlock the dumb suit collection thing.,3,2026-05-16 13:48:13-07:00,Aurliano buendia,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072296792,Amazing app,"I went to go play a game on my
Phone but luckily I set up my blocked app setting and it reminded me to do Duolingo before anything",5,2026-05-16 13:32:40-07:00,letmeratethisplwase,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072248320,This teaches you a lot,"Doulingo is teh best teaching app. It teaches you a lot, it even gives you notifications to do your lesson. I love this app.",5,2026-05-16 13:14:06-07:00,Annie the cutie,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072241026,Lariah,I love duolingo so much! (But the lessons are hard) but I love it!!!,5,2026-05-16 13:11:18-07:00,Lariah Collin’s,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072218762,Duolingo,I will give this raining a 10 out of 10 cause you did good on this. It’s helping me.,5,2026-05-16 13:03:02-07:00,Cool taco Boca,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072158687,Kora,I love learning different languages,5,2026-05-16 12:40:44-07:00,Kora it,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072139672,So close,"Love Duolingo, a daily reminder to practice helps remember what I’ve learned. The only issue is the “free” trial isn’t actually free. They charge you when you sign up for the free trial and , I’m assuming return the money if you cancel before the trial is over. But they shouldn’t charge you until the end of the trial. That is all.",4,2026-05-16 12:33:30-07:00,Todayforyou,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072088926,Wonderful!,Such a great app made with love to be fun and entertaining,5,2026-05-16 12:15:18-07:00,SvetlozarU,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072042928,0/5 Political Agenda App,"If you think you are supporting someone you are isolating the other half, I don't get why don't you modern companies do not want to stay neutral. Children using this app thinking oh it's so everyday thing to force a hs marriage in the language app, this is beyond misrepresentative of reality. You should stick to language teaching instead of pushing this inclusion stuff nonsense, it's not your job. I am tired of fake forceful agenda pushing in every piece of media !",1,2026-05-16 11:59:09-07:00,Anonymous11117299,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072041982,You should get it,"DUOLINGO is so good. it teaches all kinds of languages and math,chess, and music. You can follow people and they can follow you and for math which I’m doing can do games and their really fun I think you should get I know you will have a lot of fun 

- DUOLINGO LOVER",5,2026-05-16 11:58:48-07:00,Hanging with el,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14071949886,I love Spanish,"Some of my friends speak Spanish, and I’ve tried a lot of apps to learn how to speak Spanish. None of them were amazing as this I also super Duolingo, which means no as and you can make as many mistakes as possible. I love this app and it’s great to learn other languages",5,2026-05-16 11:27:07-07:00,Amayalily,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14071923685,ASL,My dad is hard of hearing and is trying to get my family to learn sign language before he goes full deaf so I think the app would be way better if there was sign language that you could learn as another course like there is for math and chess.,4,2026-05-16 11:18:11-07:00,Fresh_Hen01,2026-05-20T03:14:33.977405+00:00
